店舗名,住所
焼肉うしぞの～USHI‐ZONO～鶴見,神奈川県横浜市鶴見区豊岡町17-3
焼き肉ダイニング ちからや 上大岡店,神奈川県横浜市港南区上大岡西1-18-5
焼肉 基,神奈川県横浜市中区長者町7-112
焼肉 龍,神奈川県大和市大和南1-3-2
焼肉 豪じ,神奈川県横浜市中区常盤町2-10
焼肉 元八,神奈川県横浜市戸塚区平戸町384
焼肉 大門,神奈川県秦野市若松町5-3
焼肉 武蔵,神奈川県相模原市南区東林間6-18-1
焼肉223,神奈川県川崎市高津区二子5-11-4
焼肉の流儀,神奈川県藤沢市南藤沢20-4
焼肉ジナン,神奈川県川崎市中原区中丸子571-13
焼肉・韓国料理KollaBo （コラボ） 横浜ベイクォーター店,神奈川県横浜市神奈川区金港町1-10
焼肉おくう本郷台本店,神奈川県横浜市栄区桂町319-18
焼肉おくう藤沢店,神奈川県藤沢市鵠沼石上1-1-1
焼肉おくうGEMS新横浜店,神奈川県横浜市港北区新横浜2-5-17
焼肉むらき,神奈川県横浜市神奈川区鶴屋町2-16-6
焼肉おくう戸塚店,神奈川県横浜市戸塚区戸塚町16-1
焼肉 但馬屋,神奈川県川崎市中原区小杉町3-600
焼肉 みろく,神奈川県横浜市保土ケ谷区星川1-25-17
焼肉こりゅう,神奈川県横浜市中区常盤町1-5
焼肉本舗和家,神奈川県横浜市中区曙町4-59
焼肉・韓国料理Kollabo（コラボ）横浜みなとみらい店,神奈川県横浜市西区みなとみらい3-5-1
焼肉タンタン,神奈川県横浜市中区福富町東通3-10
焼肉 げんてん,神奈川県横浜市戸塚区品濃町539-5
焼肉 どうらく星川総本店,神奈川県横浜市保土ケ谷区星川2-1-15
極厚塊肉 焼肉三年目の浮気 鶴見駅前,神奈川県横浜市鶴見区豊岡町21-24
焼肉どうらく天王町店,神奈川県横浜市保土ケ谷区天王町2-47-6
焼肉俐輔,神奈川県川崎市多摩区登戸1831-1
焼肉 新羅,神奈川県横浜市中区上野町1-23
焼肉食堂605,神奈川県横浜市西区みなとみらい3-5-1
焼肉 濱皇,神奈川県横浜市栄区長沼町326
焼肉のんちゃん,神奈川県川崎市中原区木月2-5-14
焼肉 牛兵衛ODAKYU湘南GATE店,神奈川県藤沢市藤沢21-1
焼肉 忠慶苑,神奈川県足柄下郡湯河原町宮上230-9
焼肉どうらく上星川店,神奈川県横浜市保土ケ谷区上星川3-3-4
焼肉 牛三郎横浜元町店,神奈川県横浜市中区元町1-31
焼肉荒井屋,神奈川県横浜市中区大和町1-5
焼肉大昌園川崎駅前店,神奈川県川崎市川崎区砂子2-9-2
焼肉の和民横浜店,神奈川県横浜市西区北幸1-1-2
焼肉キングコング,神奈川県横浜市戸塚区品濃町515-1
焼肉べこ亭たまプラーザ本店,神奈川県川崎市宮前区犬蔵2-10-1
焼肉 東京山,神奈川県横浜市中区寿町2-5-12
焼肉 そう太,神奈川県大和市大和東3-5-17
焼肉 仔牛屋,神奈川県横浜市都筑区茅ケ崎中央12-5
焼肉 三千里,神奈川県川崎市川崎区宮本町5-1
焼肉 大成苑,神奈川県川崎市川崎区藤崎4-4-8
焼肉大飯店横浜アリラン亭西口店,神奈川県横浜市西区南幸2-8-17
焼肉の和民京急杉田店,神奈川県横浜市磯子区杉田1-13-3
焼肉 七夕 橋本,神奈川県相模原市緑区橋本3-15-17
焼肉チョモランマ武蔵小杉,神奈川県川崎市中原区小杉町3-441-17
焼肉とんがらし玉,神奈川県横浜市港南区大久保1-14-11
焼肉・韓国料理マダン,神奈川県川崎市川崎区東田町3-13
焼肉ひょうたんのつづき,神奈川県横浜市金沢区能見台通4-5
焼肉ハウスマンボウ,神奈川県横浜市青葉区あざみ野南2-4-2
焼肉ホルモン酒場陽真 ‐HARUMA‐,神奈川県鎌倉市大船1-25-23
焼肉 煉瓦（れんが）新百合ヶ丘,神奈川県川崎市麻生区上麻生1-6-3
焼肉 花ほのお,神奈川県横浜市港南区上大岡西2-9-5
焼肉おくう武蔵新城店,神奈川県川崎市中原区上新城2-11-10
焼肉韓国料理火らし,神奈川県平塚市紅谷町3-3
焼肉 慶州 大船,神奈川県鎌倉市小袋谷2-14-3
焼肉食べ放題×広々半個室極（KIWA） 横浜本店,神奈川県横浜市西区南幸2-5-5
焼肉 世界のりょうちゃん,神奈川県横浜市緑区台村町317-1
焼肉 福楽苑鶴見市場駅前店,神奈川県横浜市鶴見区市場大和町7-1
焼肉 朔Jiro,神奈川県横浜市都筑区折本町456
焼肉ハウス 大滝,神奈川県横浜市中区南仲通3-35
焼肉 肉秀 菊名,神奈川県横浜市港北区篠原北1-1-12
焼肉ホルモン べーす,神奈川県横浜市港北区日吉本町1-18-29
焼肉名菜 福寿戸塚モディ店,神奈川県横浜市戸塚区戸塚町10
焼肉名菜 福寿武蔵小杉店,神奈川県川崎市中原区小杉町1-403
焼肉名菜 福寿ミウイ橋本店,神奈川県相模原市緑区橋本3-28-1
焼肉Dining 零,神奈川県横浜市鶴見区豊岡町17-5
焼肉ホルモン やおき,神奈川県川崎市高津区溝口1-1-30
焼肉ホルモン 一栄,神奈川県横須賀市久里浜4-16-2
焼肉＆BAR 十炭,神奈川県川崎市川崎区駅前本町3-4
川崎焼肉 松小僧,神奈川県川崎市幸区中幸町1-52
焼肉 輝～kagayaki～,神奈川県川崎市高津区末長1-45-10
横浜天王町 焼肉 大石,神奈川県横浜市保土ケ谷区天王町2-46-11
金網デスマッチ 焼肉 SUN,神奈川県川崎市川崎区東田町5-5
焼肉 天龍 蒔田本店,神奈川県横浜市南区榎町2-66
焼肉と冷麺の 関内苑本店,神奈川県横浜市中区羽衣町2-5-14
和牛一頭流 焼肉どうらく鶴ヶ峰店,神奈川県横浜市旭区鶴ヶ峰2-82-1
食べ飲み放題 焼肉ダイニングちからや 横浜鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-13-3
焼肉 治郎丸 野毛店,神奈川県横浜市中区野毛町1-38
和牛一頭流 焼肉どうらく横浜西口本店,神奈川県横浜市西区南幸2-6-2
焼肉ホルモン 濱牛,神奈川県横浜市中区野毛町2-76-3
焼肉とみ 横浜関内店,神奈川県横浜市中区住吉町5-65-2
黒毛和牛一頭買い 焼肉 穂坂小田原店,神奈川県小田原市栄町1-14-56
炙 ‐ABURI‐ 焼肉・ホルモン川崎店,神奈川県川崎市川崎区東田町2-9
焼肉料理屋 わんこ,神奈川県横浜市神奈川区白楽100-11
ウラ横 焼肉センター,神奈川県横浜市西区高島2-6-32
焼肉キッチン カルビパパ,神奈川県川崎市幸区古市場1864
焼肉 平城苑 橋本店,神奈川県相模原市緑区東橋本2-31-12
焼肉×ワイン 清水橋バル,神奈川県逗子市逗子5-14-1
焼肉ホルモン 城の市場,神奈川県横浜市鶴見区市場大和町7-7
焼肉 灼 ‐SHAKU‐ 川崎店,神奈川県川崎市川崎区砂子2-6-8
焼肉 GRANDELA（グランデラ）,神奈川県横浜市西区みなとみらい5-1-1
焼肉 京城苑 屏風浦,神奈川県横浜市磯子区森4-10-7
焼肉ホルモン酒場 青葉ホルモン,神奈川県横浜市青葉区青葉台2-5
焼肉カルビランド 横浜西口店,神奈川県横浜市西区南幸2-16-11
仲町台焼肉 一喜FARM,神奈川県横浜市都筑区仲町台1-3-3
焼肉 朝日苑 野毛・桜木町,神奈川県横浜市中区野毛町1-35-3
焼肉 USHIHACHI（ウシハチ）武蔵小杉店,神奈川県川崎市中原区小杉町3-446-4
焼肉 USHIHACHI（ウシハチ）あざみ野店,神奈川県横浜市青葉区あざみ野1-1-4
みなとみらい de 焼肉DOURAKU（どうらく）,神奈川県横浜市西区みなとみらい4-6-2
焼肉ホルモン やまと 大船店,神奈川県鎌倉市大船1-5-10-1
焼肉 山形屋 本厚木店,神奈川県厚木市泉町2-1
焼肉ホルモン焼 川崎ホルモン劇場,神奈川県川崎市川崎区小川町2-7
焼肉どうらく×上星商店 二俣川店,神奈川県横浜市旭区二俣川1-45-26
焼肉ジンギスカン ひつじ 藤沢店,神奈川県藤沢市南藤沢19-16
焼肉 うらと久まつ 日吉店,神奈川県横浜市港北区日吉本町1-20-16
焼肉ホルモン たけ田 古淵店,神奈川県相模原市南区古淵1-8-12
新高島 de 焼肉DOURAKU,神奈川県横浜市西区みなとみらい5-1-2
焼肉 煉 鹿児島県直送黒毛和牛,神奈川県横浜市港北区日吉本町1-16-20
焼肉 牛勢‐GYUSE‐本厚木店,神奈川県厚木市中町3-4-16
焼肉ジンギスカン 五坪 藤沢店,神奈川県藤沢市南藤沢2-10
馬車道 de 焼肉DOURAKU,神奈川県横浜市中区北仲通5-57-2
個室 横浜焼肉 輪屋（わっかや）,神奈川県横浜市港北区新横浜2-6-17
焼肉カルビランド 東戸塚駅前店,神奈川県横浜市戸塚区品濃町539-7
焼肉・ホルモン ひょうたん 弥生町店,神奈川県横浜市中区弥生町2-15-1
焼肉本舗 我家 阪東橋・真金町店,神奈川県横浜市南区真金町1-7
焼肉大昌園 きんとき GEMS川崎店,神奈川県川崎市川崎区砂子2-4-14
炭火焼肉眞横須賀中央店,神奈川県横須賀市大滝町2-13-9
接待×個室×焼肉うし極 関内馬車道,神奈川県横浜市中区住吉町2-24-2
高コスパ焼肉焼肉市場げんかや 港北店,神奈川県横浜市都筑区牛久保西1-1-16
焼肉たまい 名物 金運カルビ 100円 溝の口,神奈川県川崎市高津区溝口2-7-11
韓国焼肉 庭,神奈川県横浜市中区福富町仲通38
炭火焼肉眞津久井浜本店,神奈川県横須賀市津久井2-2-20
炭火焼肉 快平塚豊田店,神奈川県平塚市南豊田55-1
炭火焼肉 快小田原駅前店,神奈川県小田原市栄町2-7-2
焼肉どうらく みなとみらい別邸 横浜コネクトスクエア店,神奈川県横浜市西区みなとみらい3-3-3
和牛焼肉 匠家,神奈川県横浜市中区真砂町3-31
七輪焼肉 安安湘南台店,神奈川県藤沢市亀井野365-1
七輪焼肉 安安横浜北口店,神奈川県横浜市神奈川区鶴屋町2-20-1
七輪焼肉 安安日ノ出町店,神奈川県横浜市中区日ノ出町1-2
七輪焼肉 安安本厚木店,神奈川県厚木市中町2-7-23
七輪焼肉 安安川崎仲見世店,神奈川県川崎市川崎区砂子2-7-11
七輪焼肉 安安茅ヶ崎店,神奈川県茅ヶ崎市新栄町7-2
七輪焼肉 安安追浜店,神奈川県横須賀市追浜町3-8-5
七輪焼肉 安安溝の口店,神奈川県川崎市高津区久本3-1-1
七輪焼肉 安安南林間店,神奈川県大和市南林間1-7-12
七輪焼肉 安安つきみ野店,神奈川県大和市下鶴間2076-3
