店舗名,住所,lat,lng
焼肉うしぞの～USHI‐ZONO～鶴見,神奈川県横浜市鶴見区豊岡町17-3,35.5092403,139.6756047
焼き肉ダイニング ちからや 上大岡店,神奈川県横浜市港南区上大岡西1-18-5,35.407493,139.5947903
焼肉 基,神奈川県横浜市中区長者町7-112,35.4428886,139.630346
焼肉 龍,神奈川県大和市大和南1-3-2,35.4695576,139.4623408
焼肉 豪じ,神奈川県横浜市中区常盤町2-10,35.445283,139.6382173
焼肉 元八,神奈川県横浜市戸塚区平戸町384,35.4197775,139.561946
焼肉 大門,神奈川県秦野市若松町5-3,35.3728391,139.1906655
焼肉 武蔵,神奈川県相模原市南区東林間6-18-1,35.52170419999999,139.4351628
焼肉223,神奈川県川崎市高津区二子5-11-4,35.601284,139.6172488
焼肉の流儀,神奈川県藤沢市南藤沢20-4,35.3374611,139.488527
焼肉ジナン,神奈川県川崎市中原区中丸子571-13,35.5646527,139.6697735
焼肉・韓国料理KollaBo （コラボ） 横浜ベイクォーター店,神奈川県横浜市神奈川区金港町1-10,35.4661954,139.6267109
焼肉おくう本郷台本店,神奈川県横浜市栄区桂町319-18,35.3638225,139.5542318
焼肉おくう藤沢店,神奈川県藤沢市鵠沼石上1-1-1,35.3369042,139.4870672
焼肉おくうGEMS新横浜店,神奈川県横浜市港北区新横浜2-5-17,35.5091734,139.6155685
焼肉むらき,神奈川県横浜市神奈川区鶴屋町2-16-6,35.4682768,139.6227631
焼肉おくう戸塚店,神奈川県横浜市戸塚区戸塚町16-1,35.4009401,139.5329317
焼肉 但馬屋,神奈川県川崎市中原区小杉町3-600,35.5759872,139.6585178
焼肉 みろく,神奈川県横浜市保土ケ谷区星川1-25-17,35.4566646,139.5941899
焼肉こりゅう,神奈川県横浜市中区常盤町1-5,35.4448891,139.6388821
焼肉本舗和家,神奈川県横浜市中区曙町4-59,35.4383693,139.6254107
焼肉・韓国料理Kollabo（コラボ）横浜みなとみらい店,神奈川県横浜市西区みなとみらい3-5-1,35.4578921,139.6316608
焼肉タンタン,神奈川県横浜市中区福富町東通3-10,35.4453597,139.630864
焼肉 げんてん,神奈川県横浜市戸塚区品濃町539-5,35.4311351,139.5572204
焼肉 どうらく星川総本店,神奈川県横浜市保土ケ谷区星川2-1-15,35.4583992,139.5946528
極厚塊肉 焼肉三年目の浮気 鶴見駅前,神奈川県横浜市鶴見区豊岡町21-24,35.5106591,139.675503
焼肉どうらく天王町店,神奈川県横浜市保土ケ谷区天王町2-47-6,35.45414,139.6035041
焼肉俐輔,神奈川県川崎市多摩区登戸1831-1,35.6198384,139.563335
焼肉 新羅,神奈川県横浜市中区上野町1-23,35.4324202,139.650201
焼肉食堂605,神奈川県横浜市西区みなとみらい3-5-1,35.4578921,139.6316608
焼肉 濱皇,神奈川県横浜市栄区長沼町326,35.3788339,139.5361338
焼肉のんちゃん,神奈川県川崎市中原区木月2-5-14,35.564629,139.654879
焼肉 牛兵衛ODAKYU湘南GATE店,神奈川県藤沢市藤沢21-1,35.3439246,139.4871765
焼肉 忠慶苑,神奈川県足柄下郡湯河原町宮上230-9,35.1421637,139.0856494
焼肉どうらく上星川店,神奈川県横浜市保土ケ谷区上星川3-3-4,35.4681168,139.5789116
焼肉 牛三郎横浜元町店,神奈川県横浜市中区元町1-31,35.4410875,139.650294
焼肉荒井屋,神奈川県横浜市中区大和町1-5,35.4311994,139.6483676
焼肉大昌園川崎駅前店,神奈川県川崎市川崎区砂子2-9-2,35.5289589,139.7007552
焼肉の和民横浜店,神奈川県横浜市西区北幸1-1-2,35.4676499,139.622152
焼肉キングコング,神奈川県横浜市戸塚区品濃町515-1,35.4278215,139.5571452
焼肉べこ亭たまプラーザ本店,神奈川県川崎市宮前区犬蔵2-10-1,35.58380260000001,139.5638436
焼肉 東京山,神奈川県横浜市中区寿町2-5-12,35.4398449,139.6399947
焼肉 そう太,神奈川県大和市大和東3-5-17,35.4729289,139.4654879
焼肉 仔牛屋,神奈川県横浜市都筑区茅ケ崎中央12-5,35.5421893,139.5747718
焼肉 三千里,神奈川県川崎市川崎区宮本町5-1,35.531128,139.7038268
焼肉 大成苑,神奈川県川崎市川崎区藤崎4-4-8,35.5247668,139.719312
焼肉大飯店横浜アリラン亭西口店,神奈川県横浜市西区南幸2-8-17,35.4640127,139.6183385
焼肉の和民京急杉田店,神奈川県横浜市磯子区杉田1-13-3,35.3844292,139.6181355
焼肉 七夕 橋本,神奈川県相模原市緑区橋本3-15-17,35.5945825,139.3472404
焼肉チョモランマ武蔵小杉,神奈川県川崎市中原区小杉町3-441-17,35.5736231,139.6583555
焼肉とんがらし玉,神奈川県横浜市港南区大久保1-14-11,35.40990499999999,139.5930081
焼肉・韓国料理マダン,神奈川県川崎市川崎区東田町3-13,35.5286849,139.7025261
